2 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,,,,,,,,,,,,,,,,,
circle,0.210524227,0.789475773,,,,,,,,,,,,,,,,,
triangle,0.20367893,0.79632107,,,,,,,,,,,,,,,,,
diamond,0.183333333,0.816666667,,,,,,,,,,,,,,,,,
inverted_triangle,0.223148148,0.776851852,,,,,,,,,,,,,,,,,
octagon,0.012820513,0.987179487,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
cluster 0,0.662379823,0.228118367,0.04807092,0.060182295,0.001248595,,,,,,,,,,,,,,
cluster 1,0.637628205,0.228942308,0.054967949,0.053782051,0.024679487,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,cluster 2,,,,,,,,,,,,,,,,
circle,0.006508195,0.795904599,0.197587206,,,,,,,,,,,,,,,,
triangle,0.903344482,0.005462653,0.091192865,,,,,,,,,,,,,,,,
diamond,0.005238095,0.830952381,0.163809524,,,,,,,,,,,,,,,,
inverted_triangle,0.00462963,0.780555556,0.214814815,,,,,,,,,,,,,,,,
octagon,0.002564103,0.985897436,0.011538462,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
cluster 0,0.019782871,0.977442702,0.0013269,0.001206273,0.000241255,,,,,,,,,,,,,,
cluster 1,0.825180004,0.002016046,0.071795927,0.069368443,0.03163958,,,,,,,,,,,,,,
cluster 2,0.752797097,0.123677049,0.052010886,0.070154218,0.00136075,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,cluster 2,cluster 3,,,,,,,,,,,,,,,
circle,0.001587365,0.22762808,0.595023612,0.175760943,,,,,,,,,,,,,,,
triangle,0.861984392,0.04960981,0.000111483,0.088294314,,,,,,,,,,,,,,,
diamond,0.000952381,0.316190476,0.542857143,0.14,,,,,,,,,,,,,,,
inverted_triangle,0,0.9,0,0.1,,,,,,,,,,,,,,,
octagon,0.001282051,0.251282051,0.738461538,0.008974359,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
cluster 0,0.005144695,0.994469453,0.000257235,0,0.000128617,,,,,,,,,,,,,,
cluster 1,0.638397329,0.049526989,0.073900946,0.216360601,0.021814135,,,,,,,,,,,,,,
cluster 2,0.897253306,5.98E-05,0.068218539,0,0.034468314,,,,,,,,,,,,,,
cluster 3,0.771871732,0.138027187,0.051237365,0.037643778,0.001219937,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,,,,,,,,,,,,,,
circle,0.002539783,0.645144649,0.086273265,0.005992301,0.260050002,,,,,,,,,,,,,,
triangle,0.001003344,0.00122631,0.07580825,0.896432553,0.025529543,,,,,,,,,,,,,,
diamond,0.007142857,0.717619048,0.066190476,0.006666667,0.202380952,,,,,,,,,,,,,,
inverted_triangle,0.903240741,0.003240741,0.075462963,0.000925926,0.01712963,,,,,,,,,,,,,,
octagon,0.001282051,0.966666667,0,0.003846154,0.028205128,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
cluster 0,0.031372549,0.004411765,0.007352941,0.956372549,0.000490196,,,,,,,,,,,,,,
cluster 1,0.877050065,0.00059344,0.081301252,0.000377644,0.0406776,,,,,,,,,,,,,,
