-----Attacking Parameters:-----
Test folder:     /home/jonah/neuralnets/GTSRB_resnet/Test
Samples:         200
Pixels:          (1, 3, 5)
Max iterations:  20
Population size: 400




Attacking with 1 pixels

---------------Testing image 06636.png---------------
Prior Model Confidence in true class 18:     99.868578% (before attack)
Prior Model prediction was class     18 with 99.868578% confidence (before attack)

Model Confidence in true class 18:     99.739587%
Model prediction was class     18 with 99.739587% confidence

Model Confidence in true class 18:     99.739587%
Model prediction was class     18 with 99.739587% confidence

Model Confidence in true class 18:     99.739587%
Model prediction was class     18 with 99.739587% confidence

Model Confidence in true class 18:     99.739587%
Model prediction was class     18 with 99.739587% confidence

Model Confidence in true class 18:     99.739587%
Model prediction was class     18 with 99.739587% confidence

Model Confidence in true class 18:     99.739587%
Model prediction was class     18 with 99.739587% confidence

Model Confidence in true class 18:     99.712569%
Model prediction was class     18 with 99.712569% confidence

Model Confidence in true class 18:     99.657673%
Model prediction was class     18 with 99.657673% confidence

Model Confidence in true class 18:     99.657673%
Model prediction was class     18 with 99.657673% confidence

Model Confidence in true class 18:     99.657673%
Model prediction was class     18 with 99.657673% confidence

Model Confidence in true class 18:     99.641162%
Model prediction was class     18 with 99.641162% confidence

Model Confidence in true class 18:     99.641162%
Model prediction was class     18 with 99.641162% confidence

Model Confidence in true class 18:     99.618345%
Model prediction was class     18 with 99.618345% confidence

Model Confidence in true class 18:     99.573886%
Model prediction was class     18 with 99.573886% confidence

Model Confidence in true class 18:     99.573886%
Model prediction was class     18 with 99.573886% confidence

Model Confidence in true class 18:     99.563271%
Model prediction was class     18 with 99.563271% confidence

Model Confidence in true class 18:     99.563271%
Model prediction was class     18 with 99.563271% confidence

Model Confidence in true class 18:     99.563271%
Model prediction was class     18 with 99.563271% confidence

Model Confidence in true class 18:     99.563271%
Model prediction was class     18 with 99.563271% confidence

Model Confidence in true class 18:     99.563271%
Model prediction was class     18 with 99.563271% confidence

Reached max iterations, attack unsuccessful on image 06636.png

---------------Testing image 02440.png---------------
Prior Model Confidence in true class 11:     99.171770% (before attack)
Prior Model prediction was class     11 with 99.171770% confidence (before attack)

Model Confidence in true class 11:     95.005184%
Model prediction was class     11 with 95.005184% confidence

Model Confidence in true class 11:     94.533032%
Model prediction was class     11 with 94.533032% confidence

Model Confidence in true class 11:     94.533032%
Model prediction was class     11 with 94.533032% confidence

Model Confidence in true class 11:     94.095331%
Model prediction was class     11 with 94.095331% confidence

Model Confidence in true class 11:     94.095331%
Model prediction was class     11 with 94.095331% confidence

Model Confidence in true class 11:     94.095331%
Model prediction was class     11 with 94.095331% confidence

Model Confidence in true class 11:     94.095331%
Model prediction was class     11 with 94.095331% confidence

Model Confidence in true class 11:     94.095331%
Model prediction was class     11 with 94.095331% confidence

Model Confidence in true class 11:     94.095331%
Model prediction was class     11 with 94.095331% confidence

Model Confidence in true class 11:     94.095331%
Model prediction was class     11 with 94.095331% confidence

Model Confidence in true class 11:     93.999231%
Model prediction was class     11 with 93.999231% confidence

Model Confidence in true class 11:     91.456872%
Model prediction was class     11 with 91.456872% confidence

Model Confidence in true class 11:     91.456872%
Model prediction was class     11 with 91.456872% confidence

Model Confidence in true class 11:     91.456872%
Model prediction was class     11 with 91.456872% confidence

Model Confidence in true class 11:     91.157353%
Model prediction was class     11 with 91.157353% confidence

Model Confidence in true class 11:     91.157353%
Model prediction was class     11 with 91.157353% confidence

Model Confidence in true class 11:     91.157353%
Model prediction was class     11 with 91.157353% confidence

Model Confidence in true class 11:     91.157353%
Model prediction was class     11 with 91.157353% confidence

Model Confidence in true class 11:     91.157353%
Model prediction was class     11 with 91.157353% confidence

Model Confidence in true class 11:     91.157353%
Model prediction was class     11 with 91.157353% confidence

Reached max iterations, attack unsuccessful on image 02440.png

---------------Testing image 09942.png---------------
Prior Model Confidence in true class 9:     99.986029% (before attack)
Prior Model prediction was class     9 with 99.986029% confidence (before attack)

Model Confidence in true class 9:     99.968755%
Model prediction was class     9 with 99.968755% confidence

Model Confidence in true class 9:     99.967539%
Model prediction was class     9 with 99.967539% confidence

Model Confidence in true class 9:     99.967539%
Model prediction was class     9 with 99.967539% confidence

Model Confidence in true class 9:     99.960726%
Model prediction was class     9 with 99.960726% confidence

Model Confidence in true class 9:     99.960726%
Model prediction was class     9 with 99.960726% confidence

Model Confidence in true class 9:     99.959224%
Model prediction was class     9 with 99.959224% confidence

Model Confidence in true class 9:     99.959224%
Model prediction was class     9 with 99.959224% confidence

Model Confidence in true class 9:     99.949968%
Model prediction was class     9 with 99.949968% confidence

Model Confidence in true class 9:     99.949968%
Model prediction was class     9 with 99.949968% confidence

Model Confidence in true class 9:     99.949968%
Model prediction was class     9 with 99.949968% confidence

Model Confidence in true class 9:     99.949968%
Model prediction was class     9 with 99.949968% confidence

Model Confidence in true class 9:     99.947327%
Model prediction was class     9 with 99.947327% confidence

Model Confidence in true class 9:     99.945718%
Model prediction was class     9 with 99.945718% confidence

Model Confidence in true class 9:     99.944478%
Model prediction was class     9 with 99.944478% confidence

Model Confidence in true class 9:     99.938142%
Model prediction was class     9 with 99.938142% confidence

Model Confidence in true class 9:     99.938142%
Model prediction was class     9 with 99.938142% confidence

Model Confidence in true class 9:     99.938142%
Model prediction was class     9 with 99.938142% confidence

Model Confidence in true class 9:     99.938142%
Model prediction was class     9 with 99.938142% confidence

Model Confidence in true class 9:     99.938142%
Model prediction was class     9 with 99.938142% confidence

Model Confidence in true class 9:     99.938142%
Model prediction was class     9 with 99.938142% confidence

Reached max iterations, attack unsuccessful on image 09942.png

---------------Testing image 11034.png---------------
Prior Model Confidence in true class 25:     99.911195% (before attack)
Prior Model prediction was class     25 with 99.911195% confidence (before attack)

Model Confidence in true class 25:     99.873990%
Model prediction was class     25 with 99.873990% confidence

Model Confidence in true class 25:     99.873990%
Model prediction was class     25 with 99.873990% confidence

Model Confidence in true class 25:     99.873990%
Model prediction was class     25 with 99.873990% confidence

Model Confidence in true class 25:     99.873990%
Model prediction was class     25 with 99.873990% confidence

Model Confidence in true class 25:     99.873990%
Model prediction was class     25 with 99.873990% confidence

Model Confidence in true class 25:     99.873990%
Model prediction was class     25 with 99.873990% confidence

Model Confidence in true class 25:     99.873990%
Model prediction was class     25 with 99.873990% confidence

Model Confidence in true class 25:     99.873990%
Model prediction was class     25 with 99.873990% confidence

Model Confidence in true class 25:     99.870777%
Model prediction was class     25 with 99.870777% confidence

Model Confidence in true class 25:     99.870777%
Model prediction was class     25 with 99.870777% confidence

Model Confidence in true class 25:     99.862838%
Model prediction was class     25 with 99.862838% confidence

Model Confidence in true class 25:     99.862838%
Model prediction was class     25 with 99.862838% confidence

Model Confidence in true class 25:     99.859947%
Model prediction was class     25 with 99.859947% confidence

Model Confidence in true class 25:     99.859947%
Model prediction was class     25 with 99.859947% confidence

Model Confidence in true class 25:     99.854761%
Model prediction was class     25 with 99.854761% confidence

Model Confidence in true class 25:     99.854207%
Model prediction was class     25 with 99.854207% confidence

Model Confidence in true class 25:     99.854207%
Model prediction was class     25 with 99.854207% confidence

Model Confidence in true class 25:     99.854207%
Model prediction was class     25 with 99.854207% confidence

Model Confidence in true class 25:     99.854207%
Model prediction was class     25 with 99.854207% confidence

Model Confidence in true class 25:     99.854207%
Model prediction was class     25 with 99.854207% confidence

Reached max iterations, attack unsuccessful on image 11034.png

---------------Testing image 11288.png---------------
Prior Model Confidence in true class 31:     99.346113% (before attack)
Prior Model prediction was class     31 with 99.346113% confidence (before attack)

Model Confidence in true class 31:     98.242754%
Model prediction was class     31 with 98.242754% confidence

Model Confidence in true class 31:     98.205262%
Model prediction was class     31 with 98.205262% confidence

Model Confidence in true class 31:     98.116279%
Model prediction was class     31 with 98.116279% confidence

Model Confidence in true class 31:     97.574627%
Model prediction was class     31 with 97.574627% confidence

Model Confidence in true class 31:     97.574627%
Model prediction was class     31 with 97.574627% confidence

Model Confidence in true class 31:     97.318709%
Model prediction was class     31 with 97.318709% confidence

Model Confidence in true class 31:     97.318709%
Model prediction was class     31 with 97.318709% confidence

Model Confidence in true class 31:     97.226858%
Model prediction was class     31 with 97.226858% confidence

Model Confidence in true class 31:     97.226858%
Model prediction was class     31 with 97.226858% confidence

Model Confidence in true class 31:     97.062701%
Model prediction was class     31 with 97.062701% confidence

Model Confidence in true class 31:     96.786726%
Model prediction was class     31 with 96.786726% confidence

Model Confidence in true class 31:     96.786726%
Model prediction was class     31 with 96.786726% confidence

Model Confidence in true class 31:     96.748114%
Model prediction was class     31 with 96.748114% confidence

Model Confidence in true class 31:     96.748114%
Model prediction was class     31 with 96.748114% confidence

Model Confidence in true class 31:     96.748114%
Model prediction was class     31 with 96.748114% confidence

Model Confidence in true class 31:     96.628052%
Model prediction was class     31 with 96.628052% confidence

Model Confidence in true class 31:     96.628052%
Model prediction was class     31 with 96.628052% confidence

Model Confidence in true class 31:     96.495980%
Model prediction was class     31 with 96.495980% confidence

Model Confidence in true class 31:     96.461707%
Model prediction was class     31 with 96.461707% confidence

Model Confidence in true class 31:     96.461707%
Model prediction was class     31 with 96.461707% confidence

Reached max iterations, attack unsuccessful on image 11288.png

---------------Testing image 02675.png---------------
Prior Model Confidence in true class 15:     99.088281% (before attack)
Prior Model prediction was class     15 with 99.088281% confidence (before attack)

Model Confidence in true class 15:     95.549458%
Model prediction was class     15 with 95.549458% confidence

Model Confidence in true class 15:     95.549458%
Model prediction was class     15 with 95.549458% confidence

Model Confidence in true class 15:     95.202160%
Model prediction was class     15 with 95.202160% confidence

Model Confidence in true class 15:     94.777137%
Model prediction was class     15 with 94.777137% confidence

Model Confidence in true class 15:     94.510072%
Model prediction was class     15 with 94.510072% confidence

Model Confidence in true class 15:     94.510072%
Model prediction was class     15 with 94.510072% confidence

Model Confidence in true class 15:     94.510072%
Model prediction was class     15 with 94.510072% confidence

Model Confidence in true class 15:     94.158214%
Model prediction was class     15 with 94.158214% confidence

Model Confidence in true class 15:     93.400955%
Model prediction was class     15 with 93.400955% confidence

Model Confidence in true class 15:     93.400955%
Model prediction was class     15 with 93.400955% confidence

Model Confidence in true class 15:     93.400955%
Model prediction was class     15 with 93.400955% confidence

Model Confidence in true class 15:     93.400955%
Model prediction was class     15 with 93.400955% confidence

Model Confidence in true class 15:     93.166137%
Model prediction was class     15 with 93.166137% confidence

Model Confidence in true class 15:     93.084228%
Model prediction was class     15 with 93.084228% confidence

Model Confidence in true class 15:     93.084228%
Model prediction was class     15 with 93.084228% confidence

Model Confidence in true class 15:     93.084228%
Model prediction was class     15 with 93.084228% confidence

Model Confidence in true class 15:     93.038768%
Model prediction was class     15 with 93.038768% confidence

Model Confidence in true class 15:     93.038768%
Model prediction was class     15 with 93.038768% confidence

Model Confidence in true class 15:     92.940307%
Model prediction was class     15 with 92.940307% confidence

Model Confidence in true class 15:     92.940307%
Model prediction was class     15 with 92.940307% confidence

Reached max iterations, attack unsuccessful on image 02675.png

---------------Testing image 10090.png---------------
Prior Model Confidence in true class 25:     99.331677% (before attack)
Prior Model prediction was class     25 with 99.331677% confidence (before attack)

Model Confidence in true class 25:     99.061346%
Model prediction was class     25 with 99.061346% confidence

Model Confidence in true class 25:     98.815376%
Model prediction was class     25 with 98.815376% confidence

Model Confidence in true class 25:     98.815376%
Model prediction was class     25 with 98.815376% confidence

Model Confidence in true class 25:     98.815376%
Model prediction was class     25 with 98.815376% confidence

Model Confidence in true class 25:     98.763394%
Model prediction was class     25 with 98.763394% confidence

Model Confidence in true class 25:     98.664188%
Model prediction was class     25 with 98.664188% confidence

Model Confidence in true class 25:     98.664188%
Model prediction was class     25 with 98.664188% confidence

Model Confidence in true class 25:     98.664188%
Model prediction was class     25 with 98.664188% confidence

Model Confidence in true class 25:     98.664188%
Model prediction was class     25 with 98.664188% confidence

Model Confidence in true class 25:     98.652214%
Model prediction was class     25 with 98.652214% confidence

Model Confidence in true class 25:     98.652214%
Model prediction was class     25 with 98.652214% confidence

Model Confidence in true class 25:     98.652214%
Model prediction was class     25 with 98.652214% confidence

Model Confidence in true class 25:     98.648119%
Model prediction was class     25 with 98.648119% confidence

Model Confidence in true class 25:     98.608482%
Model prediction was class     25 with 98.608482% confidence

Model Confidence in true class 25:     98.608482%
Model prediction was class     25 with 98.608482% confidence

Model Confidence in true class 25:     98.602319%
Model prediction was class     25 with 98.602319% confidence

Model Confidence in true class 25:     98.602319%
Model prediction was class     25 with 98.602319% confidence

Model Confidence in true class 25:     98.580825%
Model prediction was class     25 with 98.580825% confidence

Model Confidence in true class 25:     98.580825%
Model prediction was class     25 with 98.580825% confidence

Model Confidence in true class 25:     98.580825%
Model prediction was class     25 with 98.580825% confidence

Reached max iterations, attack unsuccessful on image 10090.png

---------------Testing image 03716.png---------------
Prior Model Confidence in true class 2:     99.993312% (before attack)
Prior Model prediction was class     2 with 99.993312% confidence (before attack)

Model Confidence in true class 2:     99.770772%
Model prediction was class     2 with 99.770772% confidence

Model Confidence in true class 2:     99.770772%
Model prediction was class     2 with 99.770772% confidence

