-----Attacking Parameters:-----
Test folder:     /home/jonah/neuralnets/GTSRB_resnet/Test
Samples:         200
Pixels:          (1, 3, 5)
Max iterations:  20
Population size: 400




Attacking with 1 pixels

---------------Testing image 11244.png---------------
Prior Model Confidence in true class 28:     98.270100% (before attack)
Prior Model prediction was class     28 with 98.270100% confidence (before attack)

Model Confidence in true class 28:     97.200429%
Model prediction was class     28 with 97.200429% confidence

Model Confidence in true class 28:     97.064352%
Model prediction was class     28 with 97.064352% confidence

Model Confidence in true class 28:     97.064352%
Model prediction was class     28 with 97.064352% confidence

Model Confidence in true class 28:     97.064352%
Model prediction was class     28 with 97.064352% confidence

Model Confidence in true class 28:     95.908332%
Model prediction was class     28 with 95.908332% confidence

Model Confidence in true class 28:     94.679230%
Model prediction was class     28 with 94.679230% confidence

Model Confidence in true class 28:     94.581980%
Model prediction was class     28 with 94.581980% confidence

Model Confidence in true class 28:     94.230878%
Model prediction was class     28 with 94.230878% confidence

Model Confidence in true class 28:     93.519402%
Model prediction was class     28 with 93.519402% confidence

Model Confidence in true class 28:     93.519402%
Model prediction was class     28 with 93.519402% confidence

Model Confidence in true class 28:     93.519402%
Model prediction was class     28 with 93.519402% confidence

Model Confidence in true class 28:     93.519402%
Model prediction was class     28 with 93.519402% confidence

Model Confidence in true class 28:     93.519402%
Model prediction was class     28 with 93.519402% confidence

Model Confidence in true class 28:     93.519402%
Model prediction was class     28 with 93.519402% confidence

Model Confidence in true class 28:     93.519402%
Model prediction was class     28 with 93.519402% confidence

Model Confidence in true class 28:     93.519402%
Model prediction was class     28 with 93.519402% confidence

Model Confidence in true class 28:     93.519402%
Model prediction was class     28 with 93.519402% confidence

Model Confidence in true class 28:     93.519402%
Model prediction was class     28 with 93.519402% confidence

Model Confidence in true class 28:     93.473810%
Model prediction was class     28 with 93.473810% confidence

Model Confidence in true class 28:     93.473810%
Model prediction was class     28 with 93.473810% confidence

Reached max iterations, attack unsuccessful on image 11244.png

---------------Testing image 04435.png---------------
Prior Model Confidence in true class 5:     99.823487% (before attack)
Prior Model prediction was class     5 with 99.823487% confidence (before attack)

Model Confidence in true class 5:     99.275780%
Model prediction was class     5 with 99.275780% confidence

Model Confidence in true class 5:     99.275780%
Model prediction was class     5 with 99.275780% confidence

Model Confidence in true class 5:     99.240500%
Model prediction was class     5 with 99.240500% confidence

Model Confidence in true class 5:     98.982388%
Model prediction was class     5 with 98.982388% confidence

Model Confidence in true class 5:     98.982388%
Model prediction was class     5 with 98.982388% confidence

Model Confidence in true class 5:     98.982388%
Model prediction was class     5 with 98.982388% confidence

Model Confidence in true class 5:     98.892641%
Model prediction was class     5 with 98.892641% confidence

Model Confidence in true class 5:     98.845237%
Model prediction was class     5 with 98.845237% confidence

Model Confidence in true class 5:     98.378849%
Model prediction was class     5 with 98.378849% confidence

Model Confidence in true class 5:     98.346347%
Model prediction was class     5 with 98.346347% confidence

Model Confidence in true class 5:     98.346347%
Model prediction was class     5 with 98.346347% confidence

Model Confidence in true class 5:     98.346347%
Model prediction was class     5 with 98.346347% confidence

Model Confidence in true class 5:     98.346347%
Model prediction was class     5 with 98.346347% confidence

Model Confidence in true class 5:     98.346347%
Model prediction was class     5 with 98.346347% confidence

Model Confidence in true class 5:     98.346347%
Model prediction was class     5 with 98.346347% confidence

Model Confidence in true class 5:     98.346347%
Model prediction was class     5 with 98.346347% confidence

Model Confidence in true class 5:     98.346347%
Model prediction was class     5 with 98.346347% confidence

Model Confidence in true class 5:     98.317474%
Model prediction was class     5 with 98.317474% confidence

Model Confidence in true class 5:     98.317474%
Model prediction was class     5 with 98.317474% confidence

Model Confidence in true class 5:     98.317474%
Model prediction was class     5 with 98.317474% confidence

Reached max iterations, attack unsuccessful on image 04435.png

---------------Testing image 04149.png---------------
Prior Model Confidence in true class 3:     99.993443% (before attack)
Prior Model prediction was class     3 with 99.993443% confidence (before attack)

Model Confidence in true class 3:     99.718553%
Model prediction was class     3 with 99.718553% confidence

Model Confidence in true class 3:     99.718553%
Model prediction was class     3 with 99.718553% confidence

Model Confidence in true class 3:     99.452305%
Model prediction was class     3 with 99.452305% confidence

Model Confidence in true class 3:     99.268299%
Model prediction was class     3 with 99.268299% confidence

Model Confidence in true class 3:     98.867816%
Model prediction was class     3 with 98.867816% confidence

Model Confidence in true class 3:     98.659652%
Model prediction was class     3 with 98.659652% confidence

Model Confidence in true class 3:     98.659652%
Model prediction was class     3 with 98.659652% confidence

Model Confidence in true class 3:     98.515016%
Model prediction was class     3 with 98.515016% confidence

Model Confidence in true class 3:     98.358613%
Model prediction was class     3 with 98.358613% confidence

Model Confidence in true class 3:     98.171705%
Model prediction was class     3 with 98.171705% confidence

Model Confidence in true class 3:     98.171705%
Model prediction was class     3 with 98.171705% confidence

Model Confidence in true class 3:     98.171705%
Model prediction was class     3 with 98.171705% confidence

Model Confidence in true class 3:     98.171705%
Model prediction was class     3 with 98.171705% confidence

Model Confidence in true class 3:     98.131049%
Model prediction was class     3 with 98.131049% confidence

Model Confidence in true class 3:     98.131049%
Model prediction was class     3 with 98.131049% confidence

Model Confidence in true class 3:     98.131049%
Model prediction was class     3 with 98.131049% confidence

Model Confidence in true class 3:     98.131049%
Model prediction was class     3 with 98.131049% confidence

Model Confidence in true class 3:     98.091000%
Model prediction was class     3 with 98.091000% confidence

Model Confidence in true class 3:     98.088801%
Model prediction was class     3 with 98.088801% confidence

Model Confidence in true class 3:     98.054975%
Model prediction was class     3 with 98.054975% confidence

Reached max iterations, attack unsuccessful on image 04149.png

---------------Testing image 07457.png---------------
Prior Model Confidence in true class 14:     99.742019% (before attack)
Prior Model prediction was class     14 with 99.742019% confidence (before attack)

Model Confidence in true class 14:     99.701595%
Model prediction was class     14 with 99.701595% confidence

Model Confidence in true class 14:     99.697399%
Model prediction was class     14 with 99.697399% confidence

Model Confidence in true class 14:     99.691927%
Model prediction was class     14 with 99.691927% confidence

Model Confidence in true class 14:     99.691927%
Model prediction was class     14 with 99.691927% confidence

Model Confidence in true class 14:     99.691927%
Model prediction was class     14 with 99.691927% confidence

Model Confidence in true class 14:     99.691927%
Model prediction was class     14 with 99.691927% confidence

Model Confidence in true class 14:     99.691927%
Model prediction was class     14 with 99.691927% confidence

Model Confidence in true class 14:     99.691927%
Model prediction was class     14 with 99.691927% confidence

Model Confidence in true class 14:     99.686664%
Model prediction was class     14 with 99.686664% confidence

Model Confidence in true class 14:     99.680650%
Model prediction was class     14 with 99.680650% confidence

Model Confidence in true class 14:     99.680650%
Model prediction was class     14 with 99.680650% confidence

Model Confidence in true class 14:     99.667346%
Model prediction was class     14 with 99.667346% confidence

Model Confidence in true class 14:     99.667346%
Model prediction was class     14 with 99.667346% confidence

Model Confidence in true class 14:     99.667346%
Model prediction was class     14 with 99.667346% confidence

Model Confidence in true class 14:     99.667346%
Model prediction was class     14 with 99.667346% confidence

Model Confidence in true class 14:     99.667346%
Model prediction was class     14 with 99.667346% confidence

Model Confidence in true class 14:     99.667346%
Model prediction was class     14 with 99.667346% confidence

Model Confidence in true class 14:     99.667346%
Model prediction was class     14 with 99.667346% confidence

Model Confidence in true class 14:     99.667346%
Model prediction was class     14 with 99.667346% confidence

Model Confidence in true class 14:     99.667346%
Model prediction was class     14 with 99.667346% confidence

Reached max iterations, attack unsuccessful on image 07457.png

---------------Testing image 01295.png---------------
Prior Model Confidence in true class 17:     99.858093% (before attack)
Prior Model prediction was class     17 with 99.858093% confidence (before attack)

Model Confidence in true class 17:     99.663782%
Model prediction was class     17 with 99.663782% confidence

Model Confidence in true class 17:     99.235922%
Model prediction was class     17 with 99.235922% confidence

Model Confidence in true class 17:     99.183732%
Model prediction was class     17 with 99.183732% confidence

Model Confidence in true class 17:     98.991138%
Model prediction was class     17 with 98.991138% confidence

Model Confidence in true class 17:     98.991138%
Model prediction was class     17 with 98.991138% confidence

Model Confidence in true class 17:     98.991138%
Model prediction was class     17 with 98.991138% confidence

Model Confidence in true class 17:     98.938167%
Model prediction was class     17 with 98.938167% confidence

Model Confidence in true class 17:     98.938167%
Model prediction was class     17 with 98.938167% confidence

Model Confidence in true class 17:     98.891270%
Model prediction was class     17 with 98.891270% confidence

Model Confidence in true class 17:     98.842955%
Model prediction was class     17 with 98.842955% confidence

Model Confidence in true class 17:     98.842955%
Model prediction was class     17 with 98.842955% confidence

Model Confidence in true class 17:     98.760569%
Model prediction was class     17 with 98.760569% confidence

Model Confidence in true class 17:     98.760569%
Model prediction was class     17 with 98.760569% confidence

Model Confidence in true class 17:     98.760569%
Model prediction was class     17 with 98.760569% confidence

Model Confidence in true class 17:     98.760569%
Model prediction was class     17 with 98.760569% confidence

Model Confidence in true class 17:     98.721689%
Model prediction was class     17 with 98.721689% confidence

Model Confidence in true class 17:     98.721689%
Model prediction was class     17 with 98.721689% confidence

Model Confidence in true class 17:     98.721689%
Model prediction was class     17 with 98.721689% confidence

Model Confidence in true class 17:     98.721689%
Model prediction was class     17 with 98.721689% confidence

Model Confidence in true class 17:     98.721689%
Model prediction was class     17 with 98.721689% confidence

Reached max iterations, attack unsuccessful on image 01295.png

---------------Testing image 11554.png---------------
Prior Model Confidence in true class 17:     99.868339% (before attack)
Prior Model prediction was class     17 with 99.868339% confidence (before attack)

Model Confidence in true class 17:     99.680126%
Model prediction was class     17 with 99.680126% confidence

Model Confidence in true class 17:     99.680126%
Model prediction was class     17 with 99.680126% confidence

Model Confidence in true class 17:     99.680126%
Model prediction was class     17 with 99.680126% confidence

Model Confidence in true class 17:     99.563581%
Model prediction was class     17 with 99.563581% confidence

Model Confidence in true class 17:     99.396378%
Model prediction was class     17 with 99.396378% confidence

Model Confidence in true class 17:     99.294233%
Model prediction was class     17 with 99.294233% confidence

Model Confidence in true class 17:     99.294233%
Model prediction was class     17 with 99.294233% confidence

Model Confidence in true class 17:     99.294233%
Model prediction was class     17 with 99.294233% confidence

Model Confidence in true class 17:     99.262941%
Model prediction was class     17 with 99.262941% confidence

Model Confidence in true class 17:     99.261451%
Model prediction was class     17 with 99.261451% confidence

Model Confidence in true class 17:     99.261451%
Model prediction was class     17 with 99.261451% confidence

Model Confidence in true class 17:     99.261451%
Model prediction was class     17 with 99.261451% confidence

Model Confidence in true class 17:     99.225605%
Model prediction was class     17 with 99.225605% confidence

Model Confidence in true class 17:     99.216872%
Model prediction was class     17 with 99.216872% confidence

Model Confidence in true class 17:     99.216872%
Model prediction was class     17 with 99.216872% confidence

Model Confidence in true class 17:     99.216872%
Model prediction was class     17 with 99.216872% confidence

Model Confidence in true class 17:     99.216872%
Model prediction was class     17 with 99.216872% confidence

Model Confidence in true class 17:     99.216872%
Model prediction was class     17 with 99.216872% confidence

Model Confidence in true class 17:     99.213773%
Model prediction was class     17 with 99.213773% confidence

Model Confidence in true class 17:     99.207544%
Model prediction was class     17 with 99.207544% confidence

Reached max iterations, attack unsuccessful on image 11554.png

---------------Testing image 09819.png---------------
Prior Model Confidence in true class 13:     99.724174% (before attack)
Prior Model prediction was class     13 with 99.724174% confidence (before attack)

Model Confidence in true class 13:     99.516702%
Model prediction was class     13 with 99.516702% confidence

Model Confidence in true class 13:     99.516702%
Model prediction was class     13 with 99.516702% confidence

Model Confidence in true class 13:     99.516702%
Model prediction was class     13 with 99.516702% confidence

Model Confidence in true class 13:     99.516702%
Model prediction was class     13 with 99.516702% confidence

Model Confidence in true class 13:     99.513054%
Model prediction was class     13 with 99.513054% confidence

Model Confidence in true class 13:     99.513054%
Model prediction was class     13 with 99.513054% confidence

Model Confidence in true class 13:     99.505687%
Model prediction was class     13 with 99.505687% confidence

Model Confidence in true class 13:     99.491006%
Model prediction was class     13 with 99.491006% confidence

Model Confidence in true class 13:     99.473417%
Model prediction was class     13 with 99.473417% confidence

Model Confidence in true class 13:     99.461961%
Model prediction was class     13 with 99.461961% confidence

Model Confidence in true class 13:     99.451798%
Model prediction was class     13 with 99.451798% confidence

Model Confidence in true class 13:     99.451798%
Model prediction was class     13 with 99.451798% confidence

Model Confidence in true class 13:     99.432397%
Model prediction was class     13 with 99.432397% confidence

Model Confidence in true class 13:     99.432397%
Model prediction was class     13 with 99.432397% confidence

Model Confidence in true class 13:     99.432397%
Model prediction was class     13 with 99.432397% confidence

Model Confidence in true class 13:     99.432397%
Model prediction was class     13 with 99.432397% confidence

Model Confidence in true class 13:     99.432397%
Model prediction was class     13 with 99.432397% confidence

Model Confidence in true class 13:     99.432397%
Model prediction was class     13 with 99.432397% confidence

Model Confidence in true class 13:     99.432397%
Model prediction was class     13 with 99.432397% confidence

Model Confidence in true class 13:     99.432397%
Model prediction was class     13 with 99.432397% confidence

Reached max iterations, attack unsuccessful on image 09819.png

---------------Testing image 02178.png---------------
Prior Model Confidence in true class 5:     96.541613% (before attack)
Prior Model prediction was class     5 with 96.541613% confidence (before attack)

Model Confidence in true class 5:     75.969058%
Model prediction was class     5 with 75.969058% confidence

Model Confidence in true class 5:     35.513932%
Model prediction was class     2 with 62.812716% confidence

